filename	type	venueID	venueShortname	venue	year	publisher	address
london-arxiv13a.json	unpublished	arxiv		arXiv	2013	arXiv	
london-arxiv13b.json	unpublished	arxiv		arXiv	2013	arXiv	
udrea-aswc07.json	conference	aswc	ASWC	Asian Semantic Web Conference	2007	Springer-Verlag	Busan, Korea
embar-akbc20.json	conference	akbc	AKBC	Automated Knowledge Base Construction	2020	AKBC	Virtual
sridhar-baylearn14.json	conference	baylearn	BayLearn	Bay Area Machine Learning Symposium	2014	BayLearn	Berkeley, CA, USA
rekatsinas-cidr15.json	conference	cidr	CIDR	Conference on Innovative Data Systems Research	2015	CIDR	Asilomar, CA, USA
sridhar-bio16.json	article	bio		Bioinformatics	2016	Oxford	
islamaj-bmcbio07.json	article	bmcbio		BMC Bioinformatics	2007	Springer Nature	
licamele-bmcbio10.json	article	bmcbio		BMC Bioinformatics	2010	Springer Nature	
pujara-akbc13.json	conference	akbc	AKBC	CIKM Workshop on Automated Knowledge Base Construction	2013	AKBC	San Francisco, CA, USA
smith-ssm08.json	conference	ssm	SSM	CIKM Workshop on Search in Social Media	2008	ACM	Napa Valley, CA, USA
pujara-ceas11.json	conference	ceas	CEAS	International Conference on Email and Anti-Spam	2011	ACM	Perth, Australia
islamaj-inbook08.json	inbook	inbook		Computational Methods of Feature Selection	2008	Chapman and Hall	
somasundaran-emnlp09.json	conference	emnlp	EMNLP	Conference on Empirical Methods in Natural Language Processing	2009	ACM	Singapore
grycner-emnlp15.json	conference	emnlp	EMNLP	Conference on Empirical Methods in Natural Language Processing	2015	ACL	Lisbon, Portugal
pujara-emnlp17.json	conference	emnlp	EMNLP	Conference on Empirical Methods in Natural Language Processing	2017	ACL	Austin, TX, USA
augustine-mlsys18.json	conference	mlsys	MLSys	Conference on Machine Learning and Systems	2018	MLSys	Stanford, CA, USA
chang-mlsys18.json	conference	mlsys	MLSys	Conference on Machine Learning and Systems	2018	MLSys	Stanford, CA, USA
bach-nips12.json	conference	nips	NeurIPS	Conference on Neural Information Processing Systems	2012	NIPS	Lake Tahoe, NV, USA
grycner-nips14.json	conference	nips	NeurIPS	Conference on Neural Information Processing Systems	2014	NIPS	Montréal, QC, Canada
bhattacharya-inbook08.json	inbook	inbook		Constrained Clustering: Advances in Algorithms, Theory, and Applications	2008	Chapman and Hall	
london-sptli13.json	conference	sptli		CVPR Workshop on Structured Prediction: Tractability, Learning and Inference	2013	CVF	Portland, OR, USA
london-inbook14.json	inbook	inbook		Data Classification: Algorithms and Applications	2014	CRC Press	
tomkins-edm16.json	conference	edm	EDM	Educational Data Mining	2016	EDM	Raleigh, NC, USA
getoor-etai02.json	article	etai	ETAI	Electronic Transactions on Artificial Intelligence	2002	ETAI	
bhattacharya-eml10.json	inbook	eml		Encyclopedia of Machine Learning	2010	Springer-Verlag	
getoor-eml10.json	inbook	eml		Encyclopedia of Machine Learning	2010	Springer-Verlag	
namata-eml10.json	inbook	eml		Encyclopedia of Machine Learning	2010	Springer-Verlag	
sen-eml10.json	inbook	eml		Encyclopedia of Machine Learning	2010	Springer-Verlag	
sharara-eml10.json	inbook	eml		Encyclopedia of Machine Learning	2010	Springer-Verlag	
desjardins-ecml05.json	conference	ecml	ECML	European Conference on Machine Learning	2005	Springer-Verlag	Porto, Portugal
doppa-ecml10.json	conference	ecml	ECML	European Conference on Machine Learning	2010	Springer-Verlag	Barcelona, Spain
islamaj-pkdd06.json	conference	pkdd	ECML-PKDD	European Conference on Principles and Practice of Knowledge Discovery in Databases	2006	Springer-Verlag	Berlin, Germany
fakhraei-inbook15.json	inbook	inbook		Healthcare Data Analytics	2015	CRC Press	
sharara-hj12.json	article	hj		Human Journal	2012	Academy of Science and Engineering	
moustafa-gdm11.json	conference	gdm	GDM	ICDE Workshop on Graph Data Management	2011	IEEE	Hannover, Germany
islamaj-mmbd07.json	conference	mmbd		ICDM Workshop on Mining and Management of Biological Data	2007	IEEE	Omaha, NE, USA
bilgic-mgcs07.json	conference	mgcs		ICDM Workshop on Mining Graphs and Complex Structures	2007	IEEE	Omaha, NE, USA
getoor-avrl00a.json	conference	avrl		ICML Workshop on Attribute-Value and Relational Learning: Crossing the Boundaries	2000	University of Freiburg	Stanford, CA, USA
getoor-avrl00b.json	conference	avrl		ICML Workshop on Attribute-Value and Relational Learning: Crossing the Boundaries	2000	University of Freiburg	Stanford, CA, USA
